Model,Start Date,End Date,Average Sharpe Ratio,Average Return,Volatility,Final Portfolio Value
best_model_layers_1_seq_30_hunits[148]_lr0.001_daydecay10_maxnorm1.pth,2017-01-03,2020-12-28,0.7844135208514817,0.0025260478258893,0.0232219224131468,1599761.0741372984
"best_model_layers_2_seq_365_hunits[64, 148]_lr0.0001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.783160227262539,0.0024963033289044,0.0229852061893821,1591660.6692179616
"best_model_layers_2_seq_365_hunits[32, 148]_lr0.001_daydecay5_maxnorm3.pth",2017-01-03,2020-12-28,0.7831318307321258,0.0025626187728541,0.0235966743335007,1609047.9298937074
"best_model_layers_3_seq_365_hunits[32, 64, 148]_lr0.001_daydecay5_maxnorm1.pth",2017-01-03,2020-12-28,0.7825743339612263,0.0026674040927442,0.0245790382112079,1636656.8597523586
"best_model_layers_2_seq_60_hunits[64, 148]_lr0.001_daydecay2_maxnorm15.pth",2017-01-03,2020-12-28,0.7822603635103317,0.0025946466333404,0.0239182040011294,1617098.9900757256
best_model_layers_1_seq_30_hunits[148]_lr0.001_daydecay2_maxnorm8.pth,2017-01-03,2020-12-28,0.7822229430695288,0.0025379363473286,0.0233965513674372,1602448.1779624186
"best_model_layers_2_seq_30_hunits[64, 148]_lr0.001_daydecay2_maxnorm15.pth",2017-01-03,2020-12-28,0.7820341226849931,0.0024892225869401,0.0229530129515105,1589557.1502034722
"best_model_layers_3_seq_180_hunits[32, 64, 148]_lr0.001_daydecay2_maxnorm15.pth",2017-01-03,2020-12-28,0.7818899227763505,0.0025773537056646,0.0237700491337293,1612598.7959170914
"best_model_layers_2_seq_60_hunits[32, 148]_lr0.0001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.7816100752128659,0.0024772602785904,0.0228551018989759,1586189.0354637846
"best_model_layers_2_seq_180_hunits[64, 148]_lr0.001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.7816007916013293,0.0024738012447646,0.0228234600812819,1585595.164290789
"best_model_layers_2_seq_60_hunits[32, 148]_lr0.001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.7811963821640002,0.0025352707416425,0.0234026907058995,1601166.0334433732
"best_model_layers_2_seq_30_hunits[32, 148]_lr0.0001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.7795240340078242,0.0025611829626708,0.0236926023955322,1607958.8708114512
"best_model_layers_2_seq_30_hunits[32, 148]_lr0.001_daydecay2_maxnorm15.pth",2017-01-03,2020-12-28,0.7794843046580071,0.0024725146982445,0.02287352925668,1584446.970396972
best_model_layers_1_seq_60_hunits[148]_lr0.001_daydecay5_maxnorm1.pth,2017-01-03,2020-12-28,0.7779124739543803,0.0024934533138667,0.0231138439789293,1589813.0979321804
best_model_layers_1_seq_180_hunits[148]_lr0.001_daydecay1_maxnorm3.pth,2017-01-03,2020-12-28,0.7776195381069603,0.0025417657823241,0.0235705673772021,1602456.7780934311
"best_model_layers_3_seq_60_hunits[32, 64, 148]_lr0.001_daydecay10_maxnorm8.pth",2017-01-03,2020-12-28,0.7772243656200355,0.0025172584532254,0.0233551721437837,1595766.0644967805
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.001_daydecay5_maxnorm1.pth",2017-01-03,2020-12-28,0.7771632767950722,0.0024548063168476,0.0227775303105599,1579479.7213112593
